name,email,facultyCode,programmeCode,regNumber,password
Nicholas Kamau,nicholas.kamau@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00070,Umu@2026
Geoffrey Alupo,geoffrey.alupo@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00071,Umu@2026
Allen Tendo,allen.tendo@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00072,Umu@2026
Juliet Mukasa,juliet.mukasa@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00073,Umu@2026
Joseph Kawuma,joseph.kawuma@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00074,Umu@2026
Cyprian Ssali,cyprian.ssali@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00075,Umu@2026
James Nabisubi,james.nabisubi@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00076,Umu@2026
Samuel Lukwiya,samuel.lukwiya@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00077,Umu@2026
George Ssemakula,george.ssemakula@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00078,Umu@2026
Livingstone Juma,livingstone.juma@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00079,Umu@2026
Saudah Adhiambo,saudah.adhiambo@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00080,Umu@2026
Sarah Kagimu,sarah.kagimu@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00081,Umu@2026
Zainab Kamau,zainab.kamau@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00082,Umu@2026
Juliet Cherono,juliet.cherono@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00083,Umu@2026
Robinah Nabulya,robinah.nabulya@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00084,Umu@2026
Daniel Lukwiya,daniel.lukwiya@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00085,Umu@2026
Anitah Otieno,anitah.otieno@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00086,Umu@2026
Francis Chebet,francis.chebet@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00087,Umu@2026
Joash Moses Ochieng,joash.moses.ochieng@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00088,Umu@2026
Moreen Owino,moreen.owino@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00089,Umu@2026
Emmanuel Auma,emmanuel.auma@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00090,Umu@2026
Grace Asiimwe,grace.asiimwe@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00091,Umu@2026
Ruth Wandera,ruth.wandera@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00092,Umu@2026
Scovia Tumwebaze,scovia.tumwebaze@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00093,Umu@2026
Deogratius Nabirye,deogratius.nabirye@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00094,Umu@2026
Annet Anyango,annet.anyango@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00095,Umu@2026
Aisha Kamau,aisha.kamau@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00096,Umu@2026
John Nalwoga,john.nalwoga@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00097,Umu@2026
Patrick Ssekitoleko,patrick.ssekitoleko@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00098,Umu@2026
Jacob Mubiru,jacob.mubiru@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00099,Umu@2026
Fatima Uwera,fatima.uwera@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00100,Umu@2026
James Lubega,james.lubega@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00101,Umu@2026
Victoria Mwesigwa,victoria.mwesigwa@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00102,Umu@2026
Rose Kaggwa,rose.kaggwa@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00103,Umu@2026
Shamim Nansubuga,shamim.nansubuga@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00104,Umu@2026
Sophia Ssewanyana,sophia.ssewanyana@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00105,Umu@2026
Loyce Kamya,loyce.kamya@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00106,Umu@2026
Clare Najjuma,clare.najjuma@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00107,Umu@2026
Grace Saleh,grace.saleh@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00108,Umu@2026
George Ssebaggala,george.ssebaggala@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00109,Umu@2026
Eric Sebbaale,eric.sebbaale@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00110,Umu@2026
Amina Okello,amina.okello@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00111,Umu@2026
Brenda Akena,brenda.akena@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00112,Umu@2026
Denis Nabatanzi,denis.nabatanzi@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00113,Umu@2026
Joash Nakitende,joash.nakitende@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00114,Umu@2026
Julius Nalwoga,julius.nalwoga@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00115,Umu@2026
Joy Lwanga,joy.lwanga@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00116,Umu@2026
Samuel Kaggwa,samuel.kaggwa@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00117,Umu@2026
Clare Nsubuga,clare.nsubuga@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00118,Umu@2026
Victoria Nakimuli,victoria.nakimuli@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00119,Umu@2026
Geoffrey Mwangi,geoffrey.mwangi@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00120,Umu@2026
Marion Wasike,marion.wasike@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00121,Umu@2026
Shanitah Nabongo,shanitah.nabongo@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00122,Umu@2026
Lawrence Nankya,lawrence.nankya@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00123,Umu@2026
Stella Bwette,stella.bwette@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00124,Umu@2026
Robert Nakato,robert.nakato@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00125,Umu@2026
Amos Twinomugisha,amos.twinomugisha@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00126,Umu@2026
Dorcus Nakato,dorcus.nakato@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00127,Umu@2026
Susan Kamya,susan.kamya@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00128,Umu@2026
Eric Mubiru,eric.mubiru@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00129,Umu@2026
Fatima Namiiro,fatima.namiiro@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00130,Umu@2026
Mary Ssekajja,mary.ssekajja@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00131,Umu@2026
Loyce Saleh,loyce.saleh@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00132,Umu@2026
Winnie Obote,winnie.obote@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00133,Umu@2026
Daniel Musoke,daniel.musoke@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00134,Umu@2026
Peninah Paul Namiiro,peninah.paul.namiiro@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00135,Umu@2026
Anthony Namukasa,anthony.namukasa@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00136,Umu@2026
Hassan David Ntale,hassan.david.ntale@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00137,Umu@2026
Ivan Namiiro,ivan.namiiro@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00138,Umu@2026
Amina Akena,amina.akena@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00139,Umu@2026
Mirembe Nanyonjo,mirembe.nanyonjo@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00140,Umu@2026
Peninah Kasirye,peninah.kasirye@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00141,Umu@2026
Cyprian Mugabi,cyprian.mugabi@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00142,Umu@2026
Fatima Okwir,fatima.okwir@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00143,Umu@2026
Joseph Kigozi,joseph.kigozi@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00144,Umu@2026
Nakato Ssentongo,nakato.ssentongo@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00145,Umu@2026
Kenneth Kayiwa,kenneth.kayiwa@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00146,Umu@2026
Wilberforce Nanyonjo,wilberforce.nanyonjo@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00147,Umu@2026
Sophia Okeyo,sophia.okeyo@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00148,Umu@2026
Brenda Kiguli,brenda.kiguli@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00149,Umu@2026
Sophia Ocen,sophia.ocen@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00150,Umu@2026
Dorcus Ocen,dorcus.ocen@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00151,Umu@2026
Judith Waswa,judith.waswa@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00152,Umu@2026
Judith Ssentongo,judith.ssentongo@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00153,Umu@2026
Uwase Omoding,uwase.omoding@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00154,Umu@2026
Kenneth Namukasa,kenneth.namukasa@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00155,Umu@2026
David Najjuma,david.najjuma@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00156,Umu@2026
Vincent Dennis Opio,vincent.dennis.opio@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00157,Umu@2026
Jovia Ochieng,jovia.ochieng@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00158,Umu@2026
Geoffrey Ndyanabo,geoffrey.ndyanabo@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00159,Umu@2026
Benjamin Nanyonjo,benjamin.nanyonjo@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00160,Umu@2026
Stephen Nakimuli,stephen.nakimuli@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00161,Umu@2026
Eric Nanyonjo,eric.nanyonjo@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00162,Umu@2026
Rashidah Twinomugisha,rashidah.twinomugisha@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00163,Umu@2026
Margaret Lubega,margaret.lubega@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00164,Umu@2026
Ambrose Kaggwa,ambrose.kaggwa@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00165,Umu@2026
Ruth Omoding,ruth.omoding@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00166,Umu@2026
Nicholas Namukasa,nicholas.namukasa@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00167,Umu@2026
Moreen Sebbaale,moreen.sebbaale@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00168,Umu@2026
Marion Namirimu,marion.namirimu@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00169,Umu@2026
Priscilla Uwera,priscilla.uwera@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00170,Umu@2026
Jackson Muwonge,jackson.muwonge@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00171,Umu@2026
Robinah Kakooza,robinah.kakooza@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00172,Umu@2026
Clare Bwette,clare.bwette@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00173,Umu@2026
Mackline Namukasa,mackline.namukasa@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00174,Umu@2026
Amina Kasule,amina.kasule@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00175,Umu@2026
Ivan Nakimuli,ivan.nakimuli@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00176,Umu@2026
Abraham Obote,abraham.obote@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00177,Umu@2026
Emmanuel Kawuma,emmanuel.kawuma@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00178,Umu@2026
Brian Vincent Sserunkuma,brian.vincent.sserunkuma@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00179,Umu@2026
Esther Namiiro,esther.namiiro@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00180,Umu@2026
Jacob Amone,jacob.amone@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00181,Umu@2026
Medard Nanyonjo,medard.nanyonjo@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00182,Umu@2026
Robert Owino,robert.owino@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00183,Umu@2026
Nicholas Nakimuli,nicholas.nakimuli@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00184,Umu@2026
Robert Mwangi,robert.mwangi@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00185,Umu@2026
Ronald Nabatanzi,ronald.nabatanzi@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00186,Umu@2026
Martin Ndyanabo,martin.ndyanabo@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00187,Umu@2026
Alex Auma,alex.auma@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00188,Umu@2026
Nicholas Nansubuga,nicholas.nansubuga@stud.umu.ac.ug,FED,BED-ARTS,2023-B201-00189,Umu@2026
Charles Ndyanabo,charles.ndyanabo@stud.umu.ac.ug,FED,BED-ARTS,2022-B201-00190,Umu@2026
Esther Bbosa,esther.bbosa@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00191,Umu@2026
Timothy Paul Aguti,timothy.paul.aguti@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00192,Umu@2026
Mariam Lubega,mariam.lubega@stud.umu.ac.ug,FED,BED-ARTS,2024-B201-00193,Umu@2026
Grace Opio,grace.opio@stud.umu.ac.ug,FED,BED-ARTS,2025-B201-00194,Umu@2026
Mercy Mubiru,mercy.mubiru@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00001,Umu@2026
Julius Ocen,julius.ocen@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00002,Umu@2026
Annet Komakech,annet.komakech@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00003,Umu@2026
Michael Adhiambo,michael.adhiambo@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00004,Umu@2026
Isaac Moses Tumusiime,isaac.moses.tumusiime@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00005,Umu@2026
Brenda Lamunu,brenda.lamunu@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00006,Umu@2026
Diana Ssemakula,diana.ssemakula@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00007,Umu@2026
Immaculate Nabulya,immaculate.nabulya@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00008,Umu@2026
Simon Mwangi,simon.mwangi@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00009,Umu@2026
Joy Nabulya,joy.nabulya@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00010,Umu@2026
Nakato Lukwiya,nakato.lukwiya@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00011,Umu@2026
Paul Nansubuga,paul.nansubuga@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00012,Umu@2026
Aisha Birungi,aisha.birungi@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00013,Umu@2026
Loyce Mwangi,loyce.mwangi@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00014,Umu@2026
Phoebe Uwera,phoebe.uwera@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00015,Umu@2026
Harold Wasike,harold.wasike@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00016,Umu@2026
Moses Wafula,moses.wafula@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00017,Umu@2026
Paul Muwonge,paul.muwonge@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00018,Umu@2026
Betty Kaggwa,betty.kaggwa@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00019,Umu@2026
Nicholas Lamunu,nicholas.lamunu@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00020,Umu@2026
Moreen Nabongo,moreen.nabongo@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00021,Umu@2026
Kenneth Najjuma,kenneth.najjuma@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00022,Umu@2026
Anthony Nabatanzi,anthony.nabatanzi@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00023,Umu@2026
Edward Lamunu,edward.lamunu@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00024,Umu@2026
Ronald Wandera,ronald.wandera@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00025,Umu@2026
Amos Omoding,amos.omoding@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00026,Umu@2026
Gorreti Nakimera,gorreti.nakimera@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00027,Umu@2026
John Wanyama,john.wanyama@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00028,Umu@2026
Anitah Ssebaggala,anitah.ssebaggala@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00029,Umu@2026
Aisha Nansubuga,aisha.nansubuga@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00030,Umu@2026
Allen Kigozi,allen.kigozi@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00031,Umu@2026
Vincent Kawuma,vincent.kawuma@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00032,Umu@2026
Rose Kawuma,rose.kawuma@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00033,Umu@2026
Immaculate Lwanga,immaculate.lwanga@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00034,Umu@2026
Umutoni Betty Mukasa,umutoni.betty.mukasa@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00035,Umu@2026
Joash Mwangi,joash.mwangi@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00036,Umu@2026
Prossy Mugabi,prossy.mugabi@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00037,Umu@2026
Ambrose Ntale,ambrose.ntale@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00038,Umu@2026
Harriet Ayebare,harriet.ayebare@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00039,Umu@2026
Christopher Kintu,christopher.kintu@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00040,Umu@2026
Rashidah Ssentongo,rashidah.ssentongo@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00041,Umu@2026
Evarist Cherono,evarist.cherono@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00042,Umu@2026
Peninah Nankya,peninah.nankya@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00043,Umu@2026
Julius Nakimuli,julius.nakimuli@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00044,Umu@2026
Mirembe Adhiambo,mirembe.adhiambo@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00045,Umu@2026
Matia Ouma,matia.ouma@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00046,Umu@2026
Grace Kigozi,grace.kigozi@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00047,Umu@2026
Joash Lamunu,joash.lamunu@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00048,Umu@2026
Benjamin Ntale,benjamin.ntale@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00049,Umu@2026
Mariam Nakamya,mariam.nakamya@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00050,Umu@2026
David Ouma,david.ouma@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00051,Umu@2026
Abraham Namaganda,abraham.namaganda@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00052,Umu@2026
Juliet Nyambura,juliet.nyambura@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00053,Umu@2026
Rachel Wafula,rachel.wafula@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00054,Umu@2026
George Ayebare,george.ayebare@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00055,Umu@2026
Teddy Namutebi,teddy.namutebi@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00056,Umu@2026
Paul Mugabi,paul.mugabi@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00057,Umu@2026
Matia Bwette,matia.bwette@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00058,Umu@2026
Doreen Kiguli,doreen.kiguli@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00059,Umu@2026
Teddy Mubiru,teddy.mubiru@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00060,Umu@2026
Sandra Atuhaire,sandra.atuhaire@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00061,Umu@2026
Betty Lukwiya,betty.lukwiya@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00062,Umu@2026
Livingstone Ssebulime,livingstone.ssebulime@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00063,Umu@2026
Resty Komakech,resty.komakech@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00064,Umu@2026
Ronald Mugisha,ronald.mugisha@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00065,Umu@2026
Elly Kiptoo,elly.kiptoo@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00066,Umu@2026
Dennis Nakimera,dennis.nakimera@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00067,Umu@2026
Prossy Nakato,prossy.nakato@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00068,Umu@2026
Florence Ajok,florence.ajok@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00069,Umu@2026
Resty Nabirye,resty.nabirye@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00070,Umu@2026
Betty Komakech,betty.komakech@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00071,Umu@2026
Agnes Oloya,agnes.oloya@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00072,Umu@2026
Paul Chebet,paul.chebet@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00073,Umu@2026
Fatima Kiptoo,fatima.kiptoo@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00074,Umu@2026
Stella Nyakato,stella.nyakato@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00075,Umu@2026
Mercy Otieno,mercy.otieno@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00076,Umu@2026
Annet Mwesigwa,annet.mwesigwa@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00077,Umu@2026
Agnes Okwir,agnes.okwir@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00078,Umu@2026
David Lamunu,david.lamunu@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00079,Umu@2026
Rachel Tendo,rachel.tendo@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00080,Umu@2026
Timothy Nankya,timothy.nankya@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00081,Umu@2026
Mackline Ssekajja,mackline.ssekajja@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00082,Umu@2026
Mariam Natukunda,mariam.natukunda@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00083,Umu@2026
David Sserunkuma,david.sserunkuma@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00084,Umu@2026
Prossy Oloya,prossy.oloya@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00085,Umu@2026
Olivia Masinde,olivia.masinde@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00086,Umu@2026
Jackson Nalwoga,jackson.nalwoga@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00087,Umu@2026
Esther Okello,esther.okello@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00088,Umu@2026
Winnie Nakato,winnie.nakato@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00089,Umu@2026
Patricia Nakamatte,patricia.nakamatte@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00090,Umu@2026
Wilberforce Kiptoo,wilberforce.kiptoo@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00091,Umu@2026
Resty Kasule,resty.kasule@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00092,Umu@2026
Sylvia Bahati,sylvia.bahati@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00093,Umu@2026
Medard Kasule,medard.kasule@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00094,Umu@2026
Jovia Nansubuga,jovia.nansubuga@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00095,Umu@2026
Charles Mugabi,charles.mugabi@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00096,Umu@2026
Juliet Wandera,juliet.wandera@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00097,Umu@2026
Denis Ssebaggala,denis.ssebaggala@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00098,Umu@2026
Joash Anyango,joash.anyango@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00099,Umu@2026
Margaret Kamau,margaret.kamau@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00100,Umu@2026
Simon Ayebare,simon.ayebare@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00101,Umu@2026
Brenda Asiimwe,brenda.asiimwe@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00102,Umu@2026
Florence Musoke,florence.musoke@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00103,Umu@2026
Godfrey Nakamya,godfrey.nakamya@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00104,Umu@2026
Thomas Kirabo,thomas.kirabo@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00105,Umu@2026
Amos Namaganda,amos.namaganda@stud.umu.ac.ug,FED,BED-SCI,2023-B202-00106,Umu@2026
Annet Rose Odongo,annet.rose.odongo@stud.umu.ac.ug,FED,BED-SCI,2022-B202-00107,Umu@2026
Rashidah Ssali,rashidah.ssali@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00108,Umu@2026
William Kawuma,william.kawuma@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00109,Umu@2026
Hassan Mugabi,hassan.mugabi@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00110,Umu@2026
Wilberforce Wanyonyi,wilberforce.wanyonyi@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00111,Umu@2026
Vincent Nakamatte,vincent.nakamatte@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00112,Umu@2026
Stella Odongo,stella.odongo@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00113,Umu@2026
Charles Mutua,charles.mutua@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00114,Umu@2026
Timothy Kigozi,timothy.kigozi@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00115,Umu@2026
Olivia Kayiwa,olivia.kayiwa@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00116,Umu@2026
Doreen Ndyanabo,doreen.ndyanabo@stud.umu.ac.ug,FED,BED-SCI,2024-B202-00117,Umu@2026
George Mubiru,george.mubiru@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00118,Umu@2026
Jackson Bbosa,jackson.bbosa@stud.umu.ac.ug,FED,BED-SCI,2025-B202-00119,Umu@2026
